,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0034,0.01,-0.335,0.747,-0.028,0.021
1,np.sqrt(roberta_neg),0.0179,0.019,0.941,0.378,-0.027,0.063
