,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0054,0.005,0.984,0.358,-0.008,0.018
1,np.log(roberta_pos),-0.0008,0.006,-0.143,0.89,-0.014,0.013
