,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0014,0.002,0.925,0.361,-0.002,0.005
1,daily_roberta_sum,-0.0006,0.01,-0.06,0.952,-0.021,0.02
2,sp500_daily_returns,1.011,0.225,4.502,0.0,0.556,1.466
