,Dep. Variable:,weekly_return,R-squared:,0.344
0,Model:,OLS,Adj. R-squared:,-0.148
1,Method:,Least Squares,F-statistic:,0.6986
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.6
3,Time:,08:40:59,Log-Likelihood:,18.045
4,No. Observations:,8,AIC:,-28.09
5,Df Residuals:,4,BIC:,-27.77
6,Df Model:,3,,
7,Covariance Type:,nonrobust,,
