,Dep. Variable:,weekly_abnormal_return,R-squared:,0.120
0,Model:,OLS,Adj. R-squared:,-0.026
1,Method:,Least Squares,F-statistic:,0.8193
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.4
3,Time:,08:40:56,Log-Likelihood:,19.977
4,No. Observations:,8,AIC:,-35.95
5,Df Residuals:,6,BIC:,-35.79
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
