,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0111,0.011,1.048,0.354,-0.018,0.041
1,sensitivity,-0.0471,0.146,-0.322,0.763,-0.453,0.358
2,sensitivity_lag_1,-0.0078,0.09,-0.086,0.935,-0.259,0.243
