,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0448,0.093,0.482,0.644,-0.175,0.264
1,np.sqrt(roberta_pos),-0.0704,0.176,-0.401,0.701,-0.485,0.345
