,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0136,0.021,0.659,0.534,-0.037,0.064
1,roberta_sum,0.0247,0.128,0.192,0.854,-0.29,0.339
2,sp500_weekly_returns_alternate,0.7786,1.059,0.735,0.49,-1.813,3.37
