,Dep. Variable:,weekly_return,R-squared:,0.115
0,Model:,OLS,Adj. R-squared:,-0.475
1,Method:,Least Squares,F-statistic:,0.1944
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.833
3,Time:,08:40:59,Log-Likelihood:,11.92
4,No. Observations:,6,AIC:,-17.84
5,Df Residuals:,3,BIC:,-18.46
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
