,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.1591,0.494,-0.322,0.769,-1.733,1.415
1,np.sqrt(roberta_pos),0.2812,0.917,0.307,0.779,-2.636,3.199
2,np.sqrt(sp500_weekly_returns_alternate),0.2449,0.439,0.558,0.616,-1.152,1.642
