,Dep. Variable:,apple_daily_abnormal_return,R-squared:,0.013
0,Model:,OLS,Adj. R-squared:,-0.013
1,Method:,Least Squares,F-statistic:,0.4882
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.489
3,Time:,08:40:55,Log-Likelihood:,141.13
4,No. Observations:,40,AIC:,-278.3
5,Df Residuals:,38,BIC:,-274.9
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
