,Dep. Variable:,blizzard_ent_daily_abnormal_return,R-squared:,0.153
0,Model:,OLS,Adj. R-squared:,0.104
1,Method:,Least Squares,F-statistic:,3.152
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.0551
3,Time:,08:40:58,Log-Likelihood:,107.47
4,No. Observations:,38,AIC:,-208.9
5,Df Residuals:,35,BIC:,-204.0
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
