,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0481,0.043,1.115,0.277,-0.041,0.138
1,np.sqrt(daily_roberta_pos),-0.0944,0.076,-1.236,0.23,-0.253,0.064
2,np.sqrt(sp500_daily_returns),0.1348,0.188,0.715,0.482,-0.256,0.526
