,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0098,0.008,1.209,0.272,-0.01,0.03
1,np.sinh(sensitivity),-0.0527,0.053,-0.996,0.358,-0.182,0.077
