,Dep. Variable:,weekly_return,R-squared:,0.286
0,Model:,OLS,Adj. R-squared:,0.049
1,Method:,Least Squares,F-statistic:,1.204
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.363
3,Time:,08:40:56,Log-Likelihood:,26.407
4,No. Observations:,9,AIC:,-46.81
5,Df Residuals:,6,BIC:,-46.22
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
