,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0378,0.041,0.916,0.37,-0.048,0.124
1,np.log(daily_roberta_neg),0.0621,0.028,2.23,0.037,0.004,0.12
2,np.log(daily_roberta_neg_lag_1),-0.0652,0.033,-1.977,0.061,-0.134,0.003
3,np.log(sp500_daily_returns),0.0058,0.005,1.14,0.267,-0.005,0.016
