,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0241,0.054,-0.446,0.669,-0.152,0.103
1,np.sinh(roberta_neg),0.0825,0.139,0.595,0.571,-0.246,0.41
