,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0017,0.009,-0.185,0.862,-0.028,0.024
1,np.sinh(sensitivity),-0.0308,0.159,-0.193,0.856,-0.473,0.411
2,np.sinh(sensitivity_lag_1),-0.1013,0.094,-1.072,0.344,-0.364,0.161
