,Dep. Variable:,apple_daily_abnormal_return,R-squared:,0.033
0,Model:,OLS,Adj. R-squared:,-0.021
1,Method:,Least Squares,F-statistic:,0.6065
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.551
3,Time:,08:40:56,Log-Likelihood:,137.51
4,No. Observations:,39,AIC:,-269.0
5,Df Residuals:,36,BIC:,-264.0
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
