,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.021,0.018,1.151,0.302,-0.026,0.068
1,roberta_sum,0.1053,0.151,0.695,0.518,-0.284,0.495
2,roberta_sum_lag_1,-0.1093,0.098,-1.113,0.316,-0.362,0.143
