,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0239,0.014,-1.69,0.099,-0.052,0.005
1,daily_roberta_neg,0.0689,0.037,1.843,0.073,-0.007,0.145
