,Dep. Variable:,apple_daily_abnormal_return,R-squared:,0.012
0,Model:,OLS,Adj. R-squared:,-0.014
1,Method:,Least Squares,F-statistic:,0.4585
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.502
3,Time:,08:25:08,Log-Likelihood:,141.12
4,No. Observations:,40,AIC:,-278.2
5,Df Residuals:,38,BIC:,-274.9
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
