,Dep. Variable:,weekly_abnormal_return,R-squared:,0.121
0,Model:,OLS,Adj. R-squared:,-0.026
1,Method:,Least Squares,F-statistic:,0.8227
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.399
3,Time:,08:40:56,Log-Likelihood:,19.979
4,No. Observations:,8,AIC:,-35.96
5,Df Residuals:,6,BIC:,-35.8
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
