,Dep. Variable:,weekly_abnormal_return,R-squared:,0.037
0,Model:,OLS,Adj. R-squared:,-0.101
1,Method:,Least Squares,F-statistic:,0.2672
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.621
3,Time:,08:40:58,Log-Likelihood:,22.318
4,No. Observations:,9,AIC:,-40.64
5,Df Residuals:,7,BIC:,-40.24
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
