,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0066,0.001,6.306,0.0,0.004,0.009
1,np.sinh(roberta_sum),-0.0042,0.008,-0.504,0.63,-0.024,0.015
