,Dep. Variable:,apple_daily_return,R-squared:,0.447
0,Model:,OLS,Adj. R-squared:,0.4
1,Method:,Least Squares,F-statistic:,9.445
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.000103
3,Time:,08:40:55,Log-Likelihood:,140.64
4,No. Observations:,39,AIC:,-273.3
5,Df Residuals:,35,BIC:,-266.6
6,Df Model:,3,,
7,Covariance Type:,nonrobust,,
