,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0134,0.017,0.811,0.423,-0.02,0.047
1,daily_roberta_pos,-0.0616,0.054,-1.147,0.259,-0.171,0.048
2,daily_roberta_pos_lag_1,0.0236,0.053,0.446,0.658,-0.084,0.131
3,sp500_daily_returns,0.7167,0.595,1.205,0.236,-0.492,1.925
