,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0054,0.023,0.233,0.822,-0.049,0.06
1,np.sinh(roberta_pos),0.0245,0.08,0.305,0.769,-0.166,0.215
