,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0013,0.001,1.082,0.286,-0.001,0.004
1,daily_sensitivity,-0.0073,0.01,-0.749,0.459,-0.027,0.012
2,sp500_daily_returns,0.9989,0.223,4.476,0.0,0.547,1.451
