,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0609,0.081,-0.753,0.485,-0.269,0.147
1,roberta_pos,0.0098,0.184,0.053,0.96,-0.462,0.482
2,roberta_pos_lag_1,0.2458,0.188,1.308,0.248,-0.237,0.729
