,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0455,0.032,-1.413,0.217,-0.128,0.037
1,np.sinh(roberta_pos),0.0762,0.072,1.056,0.339,-0.109,0.262
2,np.sinh(roberta_pos_lag_1),0.1356,0.074,1.834,0.126,-0.054,0.326
