,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0179,0.012,1.437,0.21,-0.014,0.05
1,roberta_neg,-0.0695,0.06,-1.161,0.298,-0.223,0.084
2,roberta_neg_lag_1,0.0306,0.041,0.739,0.493,-0.076,0.137
