,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0017,0.009,-0.186,0.862,-0.028,0.024
1,sensitivity,-0.0305,0.16,-0.191,0.858,-0.474,0.413
2,sensitivity_lag_1,-0.1018,0.095,-1.071,0.344,-0.366,0.162
