,Dep. Variable:,blizzard_ent_daily_return,R-squared:,0.093
0,Model:,OLS,Adj. R-squared:,0.01
1,Method:,Least Squares,F-statistic:,1.127
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.342
3,Time:,08:40:58,Log-Likelihood:,61.582
4,No. Observations:,25,AIC:,-117.2
5,Df Residuals:,22,BIC:,-113.5
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
