,roberta_neg,roberta_neu,roberta_pos,roberta_sum,sensitivity,weekly_abnormal_return,average_volatility,weekly_return,roberta_sum_lag_1,sensitivity_lag_1,roberta_pos_lag_1,roberta_neg_lag_1,sp500_weekly_returns,sp500_weekly_returns_alternate,sp500_weekly_returns_lag_1,sp500_weekly_returns_lag_1_alternate
Week 1,0.35400970683376,0.33510805780032,0.31088223570696,-0.0431274704404,,-0.0056049146759663,0.002887678023902,0.0059901281219358,,,,,0.0046154487,0.0230772434,,
Week 2,0.400222932473808,0.33342421965568,0.26635285021208,-0.13387008292168,-0.09074261248128,0.006672492286234,0.0081449250098858,-0.0014438033280237,-0.09074261248128002,,0.31088223570696,0.33510805780032,0.0002213293,0.0011066463,0.0046154487,0.0230772434
Week 3,0.378147657419664,0.3361817218338399,0.28567062252608,-0.092477034629896,0.041393048291784,-0.0107046472611524,0.0081181576358142,0.0197297934715099,0.041393048291784015,0.132135660773064,0.26635285021208,0.33342421965568,0.0038230819,0.0191154093,0.0002213293,0.0011066463
Week 4,0.4776948691413601,0.33130602455784,0.19099910636168,-0.28669576305248,-0.194218728422584,0.004210799336758,0.011510385750413,0.0003414002696775,-0.19421872842258403,-0.235611776714368,0.28567062252608,0.3361817218338399,-0.0007797657,-0.0038988283,0.0038230819,0.0191154093
Week 5,0.3560501476122,0.3679106701248,0.2760391803510399,-0.080010967529512,0.206684795522968,0.016756800962441,0.0099750254389228,0.0292328043584754,0.206684795522968,0.400903523945552,0.19099910636168,0.33130602455784,0.0047984589,0.0239922944,-0.0007797657,-0.0038988283
Week 6,0.3360707346337039,0.3385382468315199,0.32539101844248,-0.0106797159972,0.069331251532312,-0.0047393963645808,0.0128033568530512,-0.0167042274079685,0.06933125153231201,-0.13735354399065602,0.2760391803510399,0.3679106701248,0.0012328622,0.0061643109,0.0047984589,0.0239922944
Week 7,0.346789170875,0.33150315688672,0.3217076721951999,-0.025081498467648,-0.014401782470448,0.0517249330231892,0.0383970994957705,0.0934450528461959,-0.014401782470448,-0.08373303400276,0.32539101844248,0.3385382468315199,0.0027049134,0.0135245671,0.0012328622,0.0061643109
Week 8,0.432484226139808,0.34590493739136,0.22161083564544,-0.2108733905638239,-0.1857918920961759,0.0290721696230766,0.01504622194787,0.0208553925701847,-0.1857918920961759,-0.1713901096257279,0.3217076721951999,0.33150315688672,-0.0003491845,-0.0017459226,0.0027049134,0.0135245671
Week 9,0.299363599140888,0.38018696397584,0.3204494373221599,0.0210858388719359,0.2319592294357599,-0.0183330591242864,0.0043315140977071,0.006774606061875,0.2319592294357598,0.4177511215319358,0.22161083564544,0.34590493739136,-0.0026383237,-0.0079149712,-0.0003491845,-0.0017459226
