Statistics,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10
Weekly abnormal return,0.0027239199206517354,0.0039197248585329395,-0.028718184519164695,0.02062437811460551,0.02597432298408437,9.039674357429065e-05,-0.035532815270837154,0.012711721706888926,-0.016822699990413963,0.0
Average volatility,0.0035545803320541094,0.006397550766212749,0.004386153953117631,0.005284724909445173,0.004258118506845604,0.009299014442161396,0.008066010353405949,0.007682962948742972,0.006802519656275016,
Weekly return,0.03117549670789166,0.00023717899472719406,0.021857239088486913,0.009138722293801305,0.03873293358934826,-0.011167220530933997,0.00016445286331323583,0.00677795898348732,0.020205610619027703,0.0
