,Date,blizzard_ent_daily_abnormal_return,daily_roberta_sum,daily_roberta_neg,daily_roberta_pos,daily_roberta_neu,blizzard_ent_daily_return,daily_sensitivity,daily_roberta_sum_lag_1,daily_roberta_sum_lag_2,daily_roberta_sum_lag_3,daily_roberta_sum_lag_4,daily_roberta_neg_lag_1,daily_roberta_neg_lag_2,daily_roberta_neg_lag_3,daily_roberta_neg_lag_4,daily_roberta_pos_lag_1,daily_roberta_pos_lag_2,daily_roberta_pos_lag_3,daily_roberta_pos_lag_4,daily_sensitivity_lag_1,daily_sensitivity_lag_2,daily_sensitivity_lag_3,daily_sensitivity_lag_4,sp500_daily_returns,sp500_daily_returns_lag_1,sp500_daily_returns_lag_2,sp500_daily_returns_lag_3,sp500_daily_returns_lag_4
3,2023-05-31,0.001250180448858,0.022599263128000004,0.32461079565584,0.3472100598288,0.32817914483360006,0.0022494415487004,0.16000053099492,,,,,,,,,,,,,,,,,-0.002603395972985423,,,,
4,2023-06-01,-0.004449785917161,0.06145155287,0.29867800040639997,0.36012955245080003,0.3411924447132,0.0,0.038852289742,0.022599263128000004,,,,0.32461079565584,,,,0.3472100598288,,,,0.16000053099492,,,,0.00908198992744702,-0.002603395972985423,,,
5,2023-06-02,-0.0024053092076633,-0.0337087307428,0.34540483789640003,0.31169610735599995,0.3428990573488,0.0037406865732354,-0.0951602836128,0.06145155287,0.022599263128000004,,,0.29867800040639997,0.32461079565584,,,0.36012955245080003,0.3472100598288,,,0.038852289742,0.16000053099492,,,0.00975247732220308,0.00908198992744702,-0.002603395972985423,,
6,2023-06-05,0.0105369970269175,-0.17669106832919998,0.4281671115068,0.2514760443652,0.3203568429552,0.00422355699243,-0.14298233758639997,-0.0337087307428,0.06145155287,0.022599263128000004,,0.34540483789640003,0.29867800040639997,0.32461079565584,,0.31169610735599995,0.36012955245080003,0.3472100598288,,-0.0951602836128,0.038852289742,0.16000053099492,,-0.002148077583427499,0.00975247732220308,0.00908198992744702,-0.002603395972985423,
7,2023-06-06,-0.0078630754680246,-0.0313379412452,0.35052787252492,0.31918993122559997,0.3302822015224,0.0004948158997948,0.14535312708399997,-0.17669106832919998,-0.0337087307428,0.06145155287,0.022599263128000004,0.4281671115068,0.34540483789640003,0.29867800040639997,0.32461079565584,0.2514760443652,0.31169610735599995,0.36012955245080003,0.3472100598288,-0.14298233758639997,-0.0951602836128,0.038852289742,0.16000053099492,0.0029288828245674914,-0.002148077583427499,0.00975247732220308,0.00908198992744702,-0.002603395972985423
8,2023-06-07,0.0056250630092678,-0.219646196546,0.44065566868108,0.2210094728884,0.33833485906199995,-0.0046982846973564,-0.1883082553008,-0.0313379412452,-0.17669106832919998,-0.0337087307428,0.06145155287,0.35052787252492,0.4281671115068,0.34540483789640003,0.29867800040639997,0.31918993122559997,0.2514760443652,0.31169610735599995,0.36012955245080003,0.14535312708399997,-0.14298233758639997,-0.0951602836128,0.038852289742,-0.004188617447468235,0.0029288828245674914,-0.002148077583427499,0.00975247732220308,0.00908198992744702
9,2023-06-08,-0.0066631739070852,-0.11989406124399998,0.39015841392864004,0.2702643544276,0.3395772366868,-0.005962774620293,0.09975213530200003,-0.219646196546,-0.0313379412452,-0.17669106832919998,-0.0337087307428,0.44065566868108,0.35052787252492,0.4281671115068,0.34540483789640003,0.2210094728884,0.31918993122559997,0.2514760443652,0.31169610735599995,-0.1883082553008,0.14535312708399997,-0.14298233758639997,-0.0951602836128,0.005912876016168411,-0.004188617447468235,0.0029288828245674914,-0.002148077583427499,0.00975247732220308
10,2023-06-09,0.0050366816251585,-0.12178114724400001,0.39160559572759995,0.26982444815359996,0.338569958052,0.0044988830974008,-0.001887086000000024,-0.11989406124399998,-0.219646196546,-0.0313379412452,-0.17669106832919998,0.39015841392864004,0.44065566868108,0.35052787252492,0.4281671115068,0.2702643544276,0.2210094728884,0.31918993122559997,0.2514760443652,0.09975213530200003,-0.1883082553008,0.14535312708399997,-0.14298233758639997,-0.0013984175389620823,0.005912876016168411,-0.004188617447468235,0.0029288828245674914,-0.002148077583427499
11,2023-06-12,-0.0164325586549001,-0.010357773852680009,0.3260408850336,0.31568311055480003,0.35827600557879996,-0.0075889603283809,0.11142337339132,-0.12178114724400001,-0.11989406124399998,-0.219646196546,-0.0313379412452,0.39160559572759995,0.39015841392864004,0.44065566868108,0.35052787252492,0.26982444815359996,0.2702643544276,0.2210094728884,0.31918993122559997,-0.001887086000000024,0.09975213530200003,-0.1883082553008,0.14535312708399997,0.007104939468613125,-0.0013984175389620823,0.005912876016168411,-0.004188617447468235,0.0029288828245674914
12,2023-06-13,-0.0003067788375798,-0.025481572528000002,0.33997449111944,0.3144929162752,0.3455325957448,0.0116585225562575,-0.015123798675319993,-0.010357773852680009,-0.12178114724400001,-0.11989406124399998,-0.219646196546,0.3260408850336,0.39160559572759995,0.39015841392864004,0.44065566868108,0.31568311055480003,0.26982444815359996,0.2702643544276,0.2210094728884,0.11142337339132,-0.001887086000000024,0.09975213530200003,-0.1883082553008,0.0037678319120901804,0.007104939468613125,-0.0013984175389620823,0.005912876016168411,-0.004188617447468235
