,count,mean,std,min,25%,50%,75%,max
Unnamed: 0,40.0,23.65,13.361924473706086,2.0,11.75,23.5,35.25,45.0
apple_daily_abnormal_return,40.0,-0.00037573088630194504,0.007239026137592911,-0.0142631345411156,-0.0044578615036936255,-0.0010221419761213,0.004485184773849825,0.011982015300602
daily_roberta_sum,40.0,0.09288510461322348,0.11647534118174183,-0.0725158315719999,0.010776531779699925,0.06460821824954,0.11788191425609998,0.4263477452424
daily_roberta_neg,40.0,0.2932856872423709,0.04959340398530454,0.1589925304643999,0.2665511777524,0.30450096903632,0.32546570101384,0.3897927959696
daily_roberta_pos,40.0,0.3861707920224399,0.07338050272844068,0.2494052972827999,0.3392057984375,0.3728674444583999,0.4061141137401999,0.605954027852
daily_roberta_neu,40.0,0.32054352064607994,0.0460641141319947,0.2144396954999999,0.301441574117,0.3208636849152,0.3431944346525,0.4931005003639999
apple_daily_return,40.0,0.0029280593152287275,0.008928800896186273,-0.0108558430089168,-0.0057214474380053995,0.00233427794983185,0.009404058698479899,0.0231025105090796
daily_sensitivity,40.0,-0.009237032471156006,0.12062443413174737,-0.440758396986,-0.06845405569895993,-0.00231734304059995,0.0531160533112999,0.2501988405131999
daily_roberta_sum_lag_1,39.0,0.09547418172487536,0.11682606497427557,-0.0725158315719999,0.0267478388607999,0.06880904440308,0.11931823424939995,0.4263477452424
daily_roberta_sum_lag_2,38.0,0.09496572411847734,0.11835053057102757,-0.0725158315719999,0.0210596913281999,0.06460821824954,0.12075455424269993,0.4263477452424
daily_roberta_sum_lag_3,37.0,0.0994922526506524,0.11660060006295345,-0.0554060521851999,0.0381241339259999,0.06880904440308,0.1221908742359999,0.4263477452424
daily_roberta_sum_lag_4,36.0,0.09993253087000387,0.11822339582825749,-0.0554060521851999,0.032435986393399896,0.06460821824954,0.1225881814637999,0.4263477452424
daily_roberta_neg_lag_1,39.0,0.2942034176968831,0.04989643102498953,0.1589925304643999,0.268634401887,0.30491109636224,0.32679650585216,0.3897927959696
daily_roberta_neg_lag_2,38.0,0.2949281086953589,0.050357782920592835,0.1589925304643999,0.2735359858593,0.30537454191652,0.32812731069048,0.3897927959696
daily_roberta_neg_lag_3,37.0,0.2923641982284876,0.04847278723068089,0.1589925304643999,0.2706036440192,0.30491109636224,0.32413489617552,0.3571889672032
daily_roberta_neg_lag_4,36.0,0.2917840465514344,0.04902992686073002,0.1589925304643999,0.2695050409507,0.30450096903632,0.32546570101384,0.3571889672032
daily_roberta_pos_lag_1,39.0,0.3896775995798667,0.07086288060765149,0.3017829152608,0.343645611781,0.3779343895647999,0.4109215543055999,0.605954027852
daily_roberta_pos_lag_2,38.0,0.38989383297732627,0.07180106235101223,0.3017829152608,0.3430448881979,0.3728674444583999,0.4157289948709999,0.605954027852
daily_roberta_pos_lag_3,37.0,0.39185645107897293,0.0717506863242829,0.3017829152608,0.3448470589472,0.3779343895647999,0.4205364354363999,0.605954027852
daily_roberta_pos_lag_4,36.0,0.3917165776272555,0.07276336117743387,0.3017829152608,0.3442463353641,0.3728674444583999,0.42308620614119996,0.605954027852
daily_sensitivity_lag_1,39.0,-0.006322995521462569,0.12076652078087302,-0.440758396986,-0.06470344284899995,-0.0009076365552,0.0558310035537999,0.2501988405131999
daily_sensitivity_lag_2,38.0,-0.011418637570448427,0.11806228600771568,-0.440758396986,-0.06589056411689992,-0.00231734304059995,0.0493672186220999,0.2501988405131999
daily_sensitivity_lag_3,37.0,-0.007506761063541627,0.1171675342983957,-0.440758396986,-0.0623292003132,-0.0009076365552,0.0504011030687999,0.2501988405131999
daily_sensitivity_lag_4,36.0,-0.007459492515576677,0.11882921036512284,-0.440758396986,-0.06351632158109997,0.0024188217089999497,0.0531160533112999,0.2501988405131999
sp500_daily_returns,40.0,0.0015542121432365,0.0052588457680513906,-0.0132331822203457,-0.00223457282059505,0.0019281981889021499,0.0050281776051487,0.0138614410690771
sp500_daily_returns_lag_1,39.0,0.001501512983378372,0.005316880910469366,-0.0132331822203457,-0.0023210680577627,0.0017087316250301,0.0051420020333510005,0.0138614410690771
sp500_daily_returns_lag_2,38.0,0.001889268120318479,0.0047969747305059715,-0.0070616309986095,-0.00211995827443045,0.0019281981889021499,0.0052558264615533,0.0138614410690771
sp500_daily_returns_lag_3,37.0,0.0018941474850560028,0.0048630474229975585,-0.0070616309986095,-0.0021480775834274,0.0021476647527742,0.0053696508897556,0.0138614410690771
sp500_daily_returns_lag_4,36.0,0.0018719394956427833,0.004930127072005702,-0.0070616309986095,-0.00223457282059505,0.00179524628054135,0.0055054571713588005,0.0138614410690771
