,count,mean,std,min,25%,50%,75%,max
Unnamed: 0,39.0,24.205128205128204,13.060949202185814,3.0,12.5,24.0,35.5,45.0
blizzard_ent_daily_abnormal_return,39.0,0.0017706455847618769,0.015538890692262407,-0.0192501147352409,-0.0063596783372354,-0.002363048857211,0.00533087231721315,0.0766786539960946
daily_roberta_sum,39.0,-0.0906664359018646,0.12536662823171305,-0.4135739981599999,-0.16822240650419995,-0.075772764622,-0.011655854390660001,0.2638184233332
daily_roberta_neg,39.0,0.37233630976623383,0.06542764228009507,0.2346596469673199,0.32494629120046004,0.3592122339584,0.40544509326608,0.5457684015548
daily_roberta_pos,39.0,0.2816698737956717,0.06331075287058426,0.1321944037527999,0.2538737967428,0.2776509350408,0.315088013415,0.4984780694608
daily_roberta_neu,39.0,0.3459938166583179,0.029347302075393083,0.2668622869668,0.3310100708832,0.3411924447132,0.3581742358733999,0.41155981571
blizzard_ent_daily_return,39.0,0.004056952486252875,0.018269613563875072,-0.0116008908941606,-0.0050767457558474,0.0009761818900675,0.00615173306037715,0.1002418527381039
daily_sensitivity,39.0,0.009223333776474878,0.12918693964606207,-0.4366113100768,-0.05073005746751995,0.01296587589404,0.08499448053475994,0.3438102653044
daily_roberta_sum_lag_1,38.0,-0.09391861001086103,0.12537117872403106,-0.4135739981599999,-0.17050764662389994,-0.07788230329659995,-0.015378875669779975,0.2638184233332
daily_roberta_sum_lag_2,37.0,-0.09703585425604104,0.12559868864255963,-0.4135739981599999,-0.1727928867435999,-0.0799918419711999,-0.0226536978931999,0.2638184233332
daily_roberta_sum_lag_3,36.0,-0.10037523756388661,0.12570342973687995,-0.4135739981599999,-0.17332269255369992,-0.0999429516075999,-0.024774603869299975,0.2638184233332
daily_roberta_sum_lag_4,35.0,-0.10468782549787423,0.1248073016056873,-0.4135739981599999,-0.17385249836379996,-0.1198940612439999,-0.0284097568866,0.2638184233332
daily_roberta_neg_lag_1,38.0,0.37397472904823786,0.06549008489603819,0.2346596469673199,0.32547156131721,0.37468532394352,0.40640265127432,0.5457684015548
daily_roberta_neg_lag_2,37.0,0.3757177040385264,0.06549381243338945,0.2346596469673199,0.3260408850336,0.39015841392864,0.40736020928256,0.5457684015548
daily_roberta_neg_lag_3,36.0,0.37830349807740443,0.06447892860091056,0.2346596469673199,0.3350557512167999,0.39039602882692,0.41050102561033,0.5457684015548
daily_roberta_neg_lag_4,35.0,0.3812808451000079,0.06285937575817628,0.2346596469673199,0.3387900229216,0.3906336437252,0.4136418419381,0.5457684015548
daily_roberta_pos_lag_1,38.0,0.2800561189719263,0.06334251017823346,0.1321944037527999,0.252674920554,0.27718169432,0.31379371404539996,0.4984780694608
daily_roberta_pos_lag_2,37.0,0.27868184975651883,0.06363933294527493,0.1321944037527999,0.2514760443652,0.2767124535992,0.3116961073559999,0.4984780694608
daily_roberta_pos_lag_3,36.0,0.2779282604721555,0.06437441607338835,0.1321944037527999,0.2472488639736,0.2734884040134,0.3123953095857999,0.4984780694608
daily_roberta_pos_lag_4,35.0,0.2765930195775999,0.064806471303834,0.1321944037527999,0.243021683582,0.2702643544276,0.31116895387359994,0.4984780694608
daily_sensitivity_lag_1,38.0,0.009163506950087373,0.13092052260066256,-0.4366113100768,-0.051105957306759923,0.01556418686419995,0.08704054011813997,0.3438102653044
daily_sensitivity_lag_2,37.0,0.009458804915376222,0.13271357790350374,-0.4366113100768,-0.0514818571459999,0.0181624978343599,0.08908659970152,0.3438102653044
daily_sensitivity_lag_3,36.0,0.010482199365783337,0.13444798500729668,-0.4366113100768,-0.05358186022829992,0.02239978245557995,0.09175298360164,0.3438102653044
daily_sensitivity_lag_4,35.0,0.008689718261409147,0.13597369533850173,-0.4366113100768,-0.05568186331059995,0.0181624978343599,0.09441936750176,0.3438102653044
sp500_daily_returns,39.0,0.0017226109603683975,0.0052171885995391035,-0.0132331822203457,-0.0020918389654335,0.0021476647527742,0.0051420020333510005,0.0138614410690771
sp500_daily_returns_lag_1,38.0,0.0016729565283332634,0.00527787374713603,-0.0132331822203457,-0.00211995827443045,0.0019281981889021499,0.0052558264615533,0.0138614410690771
sp500_daily_returns_lag_2,37.0,0.0020758251431624245,0.004721322819257761,-0.0070616309986095,-0.0020356003474396,0.0021476647527742,0.0053696508897556,0.0138614410690771
sp500_daily_returns_lag_3,36.0,0.002086022185332767,0.004787882051811475,-0.0070616309986095,-0.00206371965643655,0.0023118946670409,0.0055054571713588005,0.0138614410690771
sp500_daily_returns_lag_4,35.0,0.002068661816229934,0.004856632115343315,-0.0070616309986095,-0.0020918389654335,0.0021476647527742,0.005641263452962,0.0138614410690771
