,roberta_neg,roberta_neu,roberta_pos,roberta_sum,sensitivity,weekly_abnormal_return,average_volatility,weekly_return,roberta_sum_lag_1,sensitivity_lag_1
Week 1,0.2024306047256799,0.31778621878672,0.479783178492,0.27735257366056,,0.0027239199206517,0.0035545803320541,0.0311754967078916,,
Week 2,0.300575720736128,0.33570346551792,0.36372081095608,0.06314509002872,-0.21420748363184,0.0039197248585329,0.0063975507662127,0.0002371789947271,-0.21420748363184,
Week 3,0.315476431794384,0.30554546984664,0.37897809759504,0.063501664745576,0.000356574716856,-0.0287181845191646,0.0043861539531176,0.0218572390884869,0.0003565747168560035,0.214564058348696
Week 4,0.2991097668199279,0.339133368786,0.36175686139464,0.062647094484932,-0.0008545702606439,0.0206243781146055,0.0052847249094451,0.0091387222938013,-0.0008545702606440053,-0.0012111449774999
Week 5,0.3240718987558399,0.3508251175956,0.32510298381648,0.0010310847489599,-0.061616009735972,0.0259743229840843,0.0042581185068456,0.0387329335893482,-0.061616009735972095,-0.0607614394753281
Week 6,0.321580486663968,0.32766548098504,0.35075403355232,0.0291735465350879,0.028142461786128,9.039674357429063e-05,0.0092990144421613,-0.0111672205309339,0.028142461786128,0.0897584715221
Week 7,0.283558442735192,0.27573631243816,0.44070524411104,0.15714680184672,0.1279732553116321,-0.0355328152708371,0.0080660103534059,0.0001644528633132,0.12797325531163212,0.09983079352550409
Week 8,0.275059649880376,0.29382820020368,0.4311121522788,0.156052501923064,-0.001094299923656,0.0127117217068889,0.0076829629487429,0.0067779589834873,-0.0010942999236560058,-0.1290675552352881
Week 9,0.30578056003936,0.3463021322503999,0.347917307942,0.042136747750616,-0.113915754172448,-0.0168226999904139,0.006802519656275,0.0202056106190277,-0.113915754172448,-0.11282145424879199
