Statistics,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10
Weekly abnormal return,-0.005604914675966339,0.006672492286234052,-0.01070464726115248,0.004210799336758093,0.016756800962441053,-0.004739396364580893,0.05172493302318928,0.02907216962307662,-0.01833305912428644,0.0
Average volatility,0.0028876780239020495,0.008144925009885827,0.008118157635814218,0.011510385750413073,0.009975025438922806,0.012803356853051255,0.03839709949577053,0.015046221947870007,0.004331514097707155,
Weekly return,0.005990128121935889,-0.0014438033280237406,0.019729793471509938,0.00034140026967754977,0.029232804358475417,-0.016704227407968508,0.09344505284619598,0.02085539257018476,0.006774606061875077,0.0
