,count,mean,std,min,25%,50%,75%,max
roberta_neg,9.0,0.2919603957945396,0.03733237224724453,0.2024306047256799,0.283558442735192,0.300575720736128,0.315476431794384,0.3240718987558399
roberta_neu,9.0,0.3213917518233511,0.025382259840612563,0.27573631243816,0.30554546984664,0.32766548098504,0.339133368786,0.3508251175956
roberta_pos,9.0,0.3866478522376,0.05166441290239119,0.32510298381648,0.35075403355232,0.36372081095608,0.4311121522788,0.479783178492
roberta_sum,9.0,0.09468745619158175,0.08649610417146998,0.0010310847489599,0.042136747750616,0.06314509002872,0.156052501923064,0.27735257366056
sensitivity,8.0,-0.02940197823874298,0.1020599083956895,-0.21420748363184,-0.07469094584509099,-0.0009744350921499501,0.007303046484174,0.1279732553116321
weekly_abnormal_return,9.0,-0.0016699150502308894,0.021300326352435055,-0.0355328152708371,-0.0168226999904139,0.0027239199206517,0.0127117217068889,0.0259743229840843
average_volatility,9.0,0.006192403985362245,0.001955233877690911,0.0035545803320541,0.0043861539531176,0.0063975507662127,0.0076829629487429,0.0092990144421613
weekly_return,9.0,0.013013596956572155,0.016156349660807073,-0.0111672205309339,0.0002371789947271,0.0091387222938013,0.0218572390884869,0.0387329335893482
roberta_sum_lag_1,8.0,-0.029401978238742986,0.1020599083956895,-0.21420748363184,-0.07469094584509099,-0.0009744350921499999,0.007303046484174,0.1279732553116321
sensitivity_lag_1,7.0,0.014327389922770283,0.12629602838799092,-0.1290675552352881,-0.08679144686206,-0.0012111449774999,0.09479463252380199,0.214564058348696
roberta_pos_lag_1,8.0,0.39148917027455,0.05300421888906244,0.32510298381648,0.35900615443406,0.37134945427556,0.43351042523686,0.479783178492
roberta_neg_lag_1,8.0,0.31827795426996996,0.025230310519246357,0.27573631243816,0.3026161524359,0.32272584988588,0.33656094133494,0.3508251175956
sp500_weekly_returns,9.0,0.0015143133888888887,0.0026191943667414333,-0.0026383237,-0.0003491845,0.0012328622,0.0038230819,0.0047984589
sp500_weekly_returns_alternate,9.0,0.008157861033333333,0.0121329362870015,-0.0079149712,-0.0017459226,0.0061643109,0.0191154093,0.0239922944
sp500_weekly_returns_lag_1,8.0,0.0020333930250000004,0.002251396040084048,-0.0007797657,7.870085000000001e-05,0.0019688878,0.0040211736000000005,0.0047984589
sp500_weekly_returns_lag_1_alternate,8.0,0.010166965062499998,0.011256980155533421,-0.0038988283,0.00039350407500000006,0.009844439,0.020105867825,0.0239922944
