,Date,apple_daily_abnormal_return,daily_roberta_sum,daily_roberta_neg,daily_roberta_pos,daily_roberta_neu,apple_daily_return,daily_sensitivity
2,2023-05-30,-0.0002933819288323,0.37543612650679997,0.15899253046439998,0.5344286577319999,0.3065788164552,0.0106595819075965,0.06126090403879997
3,2023-05-31,0.0044522882580036,0.242536371328,0.2179752595036,0.46051162941199997,0.3215131106852,-0.0002820251037627,-0.13289975517879998
4,2023-06-01,0.0023502031838927,0.22970200710799998,0.22832710831752,0.458029115264,0.31364377445959996,0.0160225463350669,-0.012834364220000005
5,2023-06-02,-0.0037851895924123,0.224913140892,0.22266245406224,0.4475755944048,0.32976195683,0.0047753935689909,-0.004788866215999971
6,2023-06-05,-0.0032075857140517,0.044754269631599994,0.30491109636224,0.3496653650028,0.34542353544640003,-0.0075711253953729,-0.18015887126040003
7,2023-06-06,-0.0044671620896663,0.04384663307639999,0.3058379874708,0.349684620986,0.344477389272,-0.0020603358581964,-0.0009076365552000004
8,2023-06-07,0.0110661200564031,0.1151197167272,0.2823330113796,0.3974527287332,0.3202142591452,-0.0077562599049938,0.07127308365080001
9,2023-06-08,0.0029047006096927,0.052790516414000004,0.3012103241836,0.35400084070640003,0.344788836172,0.0154650764072117,-0.0623292003132
10,2023-06-09,-0.0023763480038448,0.05921431429439999,0.30858618428440004,0.367800499352,0.32361330755400003,0.0021598237460787,0.006423797880399984
11,2023-06-12,-0.0044547613083694,0.08049189633200002,0.302405514568,0.3828974113752,0.314697077832,0.0156387404247855,0.02127758203760003
12,2023-06-13,-0.0126707731111248,-0.003008504268000019,0.34545266939532004,0.3424441646148,0.31210316372520003,-0.0026116532187461,-0.08350040060000004
13,2023-06-14,-0.0068981212632034,0.06880904440308001,0.31796017143064,0.3867692182744,0.295270613996,0.0034913501618691,0.07181754867108003
14,2023-06-15,-0.0011423902735744,0.06040739209600001,0.32106562881219997,0.38147302053599996,0.29746134651800005,0.0111986822113041,-0.008401652307080003
15,2023-06-16,-0.0035521385628924,0.11080849516479999,0.29049817476576006,0.40130667317479995,0.308195147162,-0.0058598804907258,0.050401103068799975
18,2023-06-21,0.011982015300602,0.04024806195560001,0.32413489617552,0.3643829578608,0.311482143966,-0.0056753030870986,0.010602519464400013
19,2023-06-22,0.0072135032056147,0.05080517624346001,0.31009865013532,0.36090382651119995,0.32899751916000003,0.0165252944943692,0.010557114287859999
20,2023-06-23,0.0014288596083887,0.12378010314719998,0.2662092317452,0.3899893326616,0.343801432598,-0.0017112691134693,0.07297492690373997
21,2023-06-26,0.003780865549224,0.056702417762399995,0.2706036440192,0.32730606314599997,0.402090295268,-0.0075529701019922,-0.06707768538479998
22,2023-06-27,-0.0009018936786682,-0.0327358965172,0.350870176038,0.31813427898319996,0.33099553963999995,0.0150590663452989,-0.0894383142796
23,2023-06-28,0.0092262684666069,-0.0202368650788,0.3294581155288,0.30922125091240005,0.361320632752,0.0063277807979098,0.012499031438399998
24,2023-06-29,0.0045838743213885,0.015371543795599999,0.3307777735076,0.34614931833519996,0.32307291048000003,0.0017965460390521,0.0356084088744
25,2023-06-30,0.009285208325533,-0.013945776217200003,0.33864978468560003,0.32470400770560004,0.336646209838,0.0231025105090796,-0.0293173200128
26,2023-07-03,-0.0072242853472721,-0.01767282574319999,0.33666265012120006,0.31898982470119996,0.34434752712,-0.0077846806069657,-0.003727049525999988
29,2023-07-06,0.010513122445973,0.038124133925999996,0.29136656565264,0.3294906999056,0.37914273865720005,0.002508732153585,-0.07258316664144002
30,2023-07-07,-0.0031984403551266,-0.007537566053199992,0.3523846238108,0.3448470589472,0.30276831665,-0.0058912720775532,-0.045661699979199985
31,2023-07-10,-0.0100715353230127,0.24266127446,0.2525210816902,0.4951823576412,0.25229656158360003,-0.0108558430089168,0.25019884051319996
32,2023-07-11,-0.0142631345411156,0.23425623729400002,0.2448812826696,0.47913751965720003,0.275981195362,-0.0028100248002851,-0.008405037165999968
33,2023-07-12,-0.0018647156554807,0.07018002898080002,0.30775436161895997,0.37793438956479997,0.31431125099999996,0.0089855509621077,-0.16407620831320002
34,2023-07-13,-0.013634764654197,0.1164455942628,0.3040908417104,0.42053643543639996,0.2753727212576,0.0040574853577299,0.04626556528199999
35,2023-07-14,0.004301334902969,0.12219087423599999,0.3085446459868,0.4307355182556,0.2607198329876,0.0007872843526774,0.005745279973199985
36,2023-07-17,0.0085827374663618,0.349454460904,0.20953562928000002,0.558990092442,0.23147428043680002,0.0173055902748326,0.227263586668
37,2023-07-18,-0.0081714228138026,0.4263477452424,0.17960628037852,0.605954027852,0.21443969549999997,-0.0013403255748356,0.07689328433839998
38,2023-07-19,0.0058844744020984,-0.014410651743600006,0.3357092744328,0.321298623474,0.342992102004,0.0070717514385503,-0.440758396986
39,2023-07-20,0.0092405687633455,0.07427700739772,0.29325809810736,0.3675351023652,0.3392068030336,-0.0100973918968402,0.08868765914132001
40,2023-07-21,-0.0028246361111142,-0.05540605218519999,0.3571889672032,0.3017829152608,0.34102812004400007,-0.0061616652582198,-0.12968305958291998
41,2023-07-24,0.002431322076489,0.09285066554428,0.3017009863536,0.3945516533936,0.3037473615356,0.004220055998181,0.14825671772948
42,2023-07-25,-0.0036147545600391,0.08364223675400001,0.3132496586024,0.3968918953408,0.28985844552319995,0.0045135933446822,-0.009208428790279985
43,2023-07-26,0.0037764960728083,-0.07251583157199998,0.3897927959696,0.3172769632164,0.2929302425012,0.0045450103553605,-0.156158068326
